timestamp,tag,addr,V_read,I_read,P_power_supply,health,health_status,health_error_W,status_raw,is_on,error
1785988449.7808058,active_health_V20_I3,66,3.22,3.0,9.66,25.42105263157895,low_power,-30.34,1,True,
1785988449.7808058,active_health_V20_I3,67,7.0,3.01,21.07,55.44736842105263,low_power,-18.93,1,True,
1785988449.7808058,active_health_V20_I3,68,10.92,3.28,35.8176,94.25684210526315,low_power,-4.182400000000001,1,True,
1785988449.7808058,active_health_V20_I3,69,10.25,3.0,30.75,80.92105263157895,low_power,-9.25,1,True,
1785988449.7808058,active_health_V20_I3,70,20.01,0.0,0.0,0.0,near_zero_power,-40.0,1,True,
1785988449.7808058,active_health_V20_I3,71,7.18,3.33,23.909399999999998,62.919473684210516,low_power,-16.090600000000002,1,True,
1785988449.7808058,active_health_V20_I3,72,11.27,3.29,37.0783,97.57447368421053,low_power,-2.9217000000000013,1,True,
1785988449.7808058,active_health_V20_I3,73,7.39,3.01,22.243899999999996,58.536578947368405,low_power,-17.756100000000004,1,True,
1785988449.7808058,active_health_V20_I3,74,4.03,3.01,12.1303,31.921842105263156,low_power,-27.8697,1,True,
1785988449.7808058,active_health_V20_I3,75,7.96,3.0,23.88,62.8421052631579,low_power,-16.12,1,True,
1785988449.7808058,active_health_V20_I3,76,7.29,3.0,21.87,57.55263157894737,low_power,-18.13,1,True,
1785988449.7808058,active_health_V20_I3,77,6.83,3.0,20.490000000000002,53.921052631578945,low_power,-19.509999999999998,1,True,
1785988449.7808058,active_health_V20_I3,78,7.49,3.0,22.47,59.13157894736842,low_power,-17.53,1,True,
1785988449.7808058,active_health_V20_I3,79,10.19,3.22,32.8118,86.34684210526315,low_power,-7.188200000000002,1,True,
1785988449.7808058,active_health_V20_I3,80,7.27,3.22,23.4094,61.60368421052632,low_power,-16.5906,1,True,
1785988449.7808058,active_health_V20_I3,81,9.14,3.0,27.42,72.15789473684211,low_power,-12.579999999999998,1,True,
1785988449.7808058,active_health_V20_I3,82,9.78,3.28,32.078399999999995,84.41684210526314,low_power,-7.921600000000005,1,True,
1785988449.7808058,active_health_V20_I3,83,10.46,3.25,33.995000000000005,89.46052631578948,low_power,-6.0049999999999955,1,True,
1785988449.7808058,active_health_V20_I3,84,7.73,2.99,23.112700000000004,60.822894736842116,low_power,-16.887299999999996,1,True,
1785988449.7808058,active_health_V20_I3,85,10.52,3.32,34.926399999999994,91.91157894736841,low_power,-5.073600000000006,1,True,
1785988449.7808058,active_health_V20_I3,86,7.88,3.0,23.64,62.21052631578947,low_power,-16.36,1,True,
1785988449.7808058,active_health_V20_I3,87,10.01,3.25,32.5325,85.61184210526316,low_power,-7.467500000000001,1,True,
1785988449.7808058,active_health_V20_I3,88,7.32,3.21,23.4972,61.83473684210526,low_power,-16.5028,1,True,
